id,node_type
272,functionDeclaration UP
282,While UP
116,LessThanEquals DOWN
127,iterationStatement TOP
180,Break DOWN
251,caseClause DOWN
296,labelledStatement TOP
137,GreaterThanEquals DOWN
232,Continue UP
286,NotEquals UP
241,Class DOWN
12,singleExpression TOP
216,Function DOWN
27,Dot DOWN
78,statementList DOWN
312,DivideAssign DOWN
143,Divide UP
161,Plus DOWN
218,Equals_ DOWN
41,identifierName UP
178,variableDeclarationList TOP
56,expressionStatement DOWN
