id,path
26434,22 129 42 142
28280,69 80 55 77 78 55 56 57 28
11370,22 178 94 42 42 42 13 42 5
11132,143 11 60 42 42 140
23112,122 123 68 11 12 42 42 43 105 106
22410,6 11 11 12 13 42 146 42 98 59
2431,69 80 55 77 78 55 56 57 21
19325,6 41 11 12 13 42 13 42 104
24501,22 119 103 42 42 13 42 42 42 5
16491,6 138 34 72 70 34 80 55 77 59
25245,6 138 34 71 55 76 28
19828,164 11 11 118 119 103 42 161
6714,1 11 11 11 12 13 42 134 28
379,58 95 42 98 17
7798,22 45 11 60 42 13 21
19866,158 165 11 11 118 119 17
21048,61 62 63 34 71 55 139 57 21
5481,58 95 42 98 21
6506,6 41 11 12 13 42 13 42 154
9284,22 129 42 187
11914,183 11 11 12 42 42 13 28
5163,110 11 46 115 48 49
17288,6 41 11 12 13 42 13 42 147
26008,22 45 11 60 42 13 14
25049,158 11 12 42 13 42 13 42 101
25901,6 41 11 11 129 42 42 5
26381,6 41 11 12 13 42 13 42 140
2264,6 41 11 12 13 42 13 42 142
6722,1 11 11 11 12 13 42 134 14
8342,67 68 11 11 118 119 103 39 40 5
28258,69 80 55 77 78 55 56 57 59
22359,6 41 11 11 129 42 42 14
1894,6 41 11 11 129 42 42 27
12095,22 129 42 161
1619,144 11 12 42 13 14
25795,22 129 42 13 42 42 74
25052,22 45 11 60 42 13 28
2259,69 45 11 11 46 80 55 77 59
6026,22 129 42 13 42 43 44
19354,210 138 34 71 55 76 57 42 148
17908,307 100 12 42 42 5
462,58 95 42 98 59
15776,160 11 46 75 34 71 55 76 28
19348,168 11 12 42 42 43 195
25033,160 12 42 57 42 42 42 43 105 106
13748,22 119 103 42 42 13 42 42 40 5
23884,160 11 46 75 34 71 55 76 14
26165,22 129 42 194
8634,79 75 34 71 55 96 93 21
13576,58 34 72 70 34 71 55 77 59
20257,144 11 46 80 55 77 30
16840,122 123 68 11 46 11 81 82 92 48
3012,15 70 34 71 55 56 57 42 13 21
245,15 70 34 71 55 56 57 42 13 14
26855,22 119 103 42 42 57 42 5
16723,29 11 11 46 284 243 258 251 104
13603,58 34 72 70 34 71 55 77 17
402,15 70 34 71 55 56 57 42 13 28
14310,1 60 42 42 132 133 42 43 105 106
1277,144 11 46 80 55 77 59
17861,107 11 46 75 34 35 36 64 2 17
26333,110 249 250 251 78 55 56 57 21
25725,22 45 11 12 42 43 105 106
4011,87 88 138 34 72 73 17
14172,110 12 42 13 14
23950,199 11 11 11 46 11 12 42 42 5
6659,1 11 11 11 12 13 42 146 17
5739,26 11 11 12 13 42 13 42 5
4789,26 11 11 11 11 12 42 42 40 5
14177,69 45 11 12 42 42 42 40 5
23963,199 11 12 42 57 42 104
7556,110 12 42 13 28
20787,6 95 42 13 42 42 42 27
28018,164 165 11 11 60 21
11773,6 95 42 13 42 42 42 5
23542,6 41 11 11 129 42 42 140
20784,22 129 42 308
14295,164 165 11 11 60 14
17447,117 11 11 12 42 42 142
1654,6 41 11 11 60 21
