id,path
14334,9 10 10 28 43 22 43 22 171 49
13929,16 40 22 22 43 22 153 154 22 38
13217,42 85 22 153 154 22 23
1323,32 33 175 179 22 22 153 113
12189,109 17 10 129 22 43 22 38
14070,109 11 10 28 43 22 38
2392,32 10 11 58 19 48 18 19 56 41
6000,8 14 18 19 56 21 22 22 68
122,8 14 18 19 56 21 22 22 53
10696,34 10 10 129 22 22 21 22 22 123
13122,213 10 40 22 188
8400,9 10 28 22 22 21 22 29 71 72
14681,32 33 10 10 10 10 10 40 81
11477,8 2 3 4 46 47 19 20 36 39
12176,109 17 10 129 22 43 22 53
1507,32 10 11 58 19 48 18 19 56 59
2303,8 14 18 19 56 21 22 22 51
1140,8 14 18 19 56 21 22 22 38
8777,8 14 18 19 56 21 22 22 41
20436,66 65 21 22 171 164 22 171 15
295,32 10 11 35 36
2344,32 10 11 58 19 48 18 19 56 51
20652,42 85 22 153 154 22 120
11685,151 10 10 11 54 3 26 19 56 41
4925,119 10 10 11 65 36 39
5794,31 10 10 10 40 22 123
17380,109 149 185 10 162 163 164 22 29 30
7765,73 10 28 22 242
20551,112 58 19 48 18 19 212 36 39
21201,99 10 10 10 28 22 38
9793,32 10 17 10 28 22 43 22 37 38
179,8 14 18 19 56 21 22 22 23
6159,32 33 10 10 17 10 28 23
4091,16 135 21 22 22 22 37 38
14565,99 185 10 162 163 164 22 29 71 72
10767,57 58 21 22 22 22 22 22 43 41
17568,74 75 89 3 26 19 87 90 236
2860,157 10 11 54 3 26 19 63 36 39
10801,34 10 10 129 22 22 21 22 22 113
11661,151 10 10 11 54 3 26 19 56 59
12135,109 17 10 129 22 43 22 23
400,109 17 10 11 12 3 4 5 6 7
15797,32 10 10 28 22 171 164 180 37 38
21115,42 28 22 166 167 47 19 87 36 39
15667,31 10 10 28 22 22 22 22 43 51
3120,74 75 89 3 13 2 3 13 14 15
6943,31 10 10 28 43 22 43 22 38
2149,32 10 10 28 22 21 22 38
9526,32 10 11 10 28 22 153 123
5008,9 10 28 43 22 171 164 180 37 38
6892,16 10 10 40 22 22 41
15841,25 89 3 26 19 56 51
16831,119 179 22 22 22 43 22 23
6530,34 17 10 162 163 164 180 37 38
14078,32 10 17 10 10 28 43 22 172 49
18391,34 58 19 63 21 22 23
14793,34 17 10 10 11 10 11 58 41
15685,32 10 10 28 22 169 41
8258,109 17 10 11 12 3 4 5 6 15
16607,25 89 3 26 19 56 59
11426,3 13 2 3 13 14 27
12715,1 174 10 10 11 28 41
13983,32 10 11 12 3 26 19 260 256 267
1447,122 10 10 17 10 28 86
7845,202 10 11 10 96 214 78 27
9149,122 10 10 10 28 22 21 22 22 155
20394,109 149 185 10 162 163 15
8256,109 17 10 11 12 3 4 5 6 38
4200,73 10 28 22 68
466,74 75 89 3 26 19 87 90 91
12450,109 17 10 11 12 3 4 5 6 27
9576,32 33 175 179 22 29 67
11780,117 116 3 26 19 79 78 38
6653,42 28 22 21 22 43 22 37 38
15549,25 89 3 26 19 56 41
16478,9 10 10 11 12 3 26 19 63 36
20424,66 65 21 22 171 164 22 171 81
10224,9 10 28 43 22 153 154 22 43 41
19661,109 17 10 11 12 3 4 5 6 49
14097,32 10 17 10 10 28 43 22 172 15
6980,31 10 17 10 11 12 3 13 14 15
17884,109 17 10 11 12 3 4 5 6 41
1591,189 10 129 22 22 22 38
3037,32 10 10 28 22 171 15
4331,34 10 10 129 22 22 21 22 22 23
19265,8 132 145 126 18 19 63 36 39
3864,31 10 10 129 217 38
2812,8 14 18 19 56 21 22 22 205
222,9 10 10 11 12 3 26 19 63 64
10906,202 10 10 10 11 12 3 13 14 15
17897,109 17 10 11 12 3 4 5 6 64
4866,73 10 28 22 38
9537,246 10 11 10 11 35 36
6643,99 10 17 10 11 35 36 39
21412,109 17 10 11 12 3 4 5 6 59
14281,109 111 22 171 164 22 22 37 38
2409,8 14 18 19 56 21 22 22 201
4078,109 17 10 11 54 3 26 19 56 41
12674,32 33 175 179 22 29 30
20432,66 65 21 22 171 164 22 171 49
2835,122 185 10 11 65 36 39
5815,8 14 18 19 56 21 22 22 190
3291,8 14 18 19 56 21 22 22 193
16374,32 33 10 10 129 22 22 22 22 53
15593,8 14 18 19 56 21 22 22 183
9291,74 75 116 3 13 2 3 58 92
10675,8 14 18 19 56 21 22 22 186
12791,8 184 10 10 10 11 35 36 39
12653,24 25 89 3 4 46 47 19 79 38
12766,34 54 3 26 19 56 19 63 64
18273,32 33 175 179 22 22 225
12254,32 10 11 10 28 22 153 81
517,32 10 10 28 22 21 22 107
12672,24 25 89 3 4 46 47 19 79 51
16534,34 17 10 10 10 28 23
5686,32 10 10 28 22 21 22 108
14153,32 10 17 10 10 28 43 22 169 41
9836,32 96 214 78 22 22 43 51
17147,73 10 28 22 118
8021,32 10 17 10 10 28 43 22 169 51
6951,73 10 28 22 110
9117,8 14 18 19 56 21 22 22 155
11980,32 168 10 11 35 36
1725,74 75 76 77 78 22 22 153 123
14048,16 17 10 10 96 97 76 36
16203,32 33 175 179 22 22 188
12248,32 10 11 10 28 22 153 113
5364,74 75 76 77 78 22 22 153 113
9868,189 10 129 22 22 22 21 22 22 188
211,24 25 12 3 26 19 63 36 39
19824,99 10 28 22 21 22 22 22 22 38
1505,42 28 22 43 22 113
10497,119 10 129 22 22 22 29 71 72
14695,31 10 10 10 10 11 35 36
19099,8 268 3 26 19 215 170 161 38
1656,42 28 22 43 22 123
7124,42 28 22 43 22 120
6575,8 165 166 167 47 19 63 36 39
19129,25 89 3 13 2 3 58 92
20708,31 10 10 28 22 153 154 22 29 67
5573,32 10 10 10 10 10 129 22 22 38
11483,32 10 116 3 26 19 20 36
4922,119 10 10 11 61 3 13 14 15
8581,16 58 21 22 242
10811,206 10 10 10 28 22 22 38
19192,57 54 3 26 19 215 51
5641,151 10 17 10 10 11 106 36 39
13399,34 17 10 10 10 28 88
9468,34 17 10 10 10 28 107
3378,34 17 10 129 22 22 37 38
11605,16 58 21 22 225
1500,32 10 10 17 10 11 35 36 39
630,32 96 97 89 3 13 14 15
14599,32 10 11 28 51
19609,42 28 22 43 22 88
6511,32 10 10 28 22 21 22 186
9964,32 96 97 89 3 13 14 41
4375,32 10 11 28 41
7662,55 28 22 169 51
7266,16 58 21 22 209
10424,16 58 21 22 208
