id,path
23096,21 42 2 3 8 8 8 4 8 18
10218,21 42 2 3 8 8 8 4 8 20
15344,21 70 83 13 14 15 38 15 52 53
9718,21 2 3 8 8 9 10
7667,1 2 2 3 8 28
9224,46 2 2 22 2 2 3 19 20
23697,33 2 2 136 8 8 9 101 102
10882,11 12 13 14 15 38 17 8 4 5
21845,21 2 3 8 8 8 28
24327,104 2 3 8 8 55
7481,1 2 2 3 8 18
1554,1 2 2 3 8 20
15492,21 70 83 13 14 15 38 15 52 41
11392,1 2 2 3 8 5
7342,21 2 2 22 2 22 32 29
1629,21 2 3 8 8 8 20
2274,104 2 3 8 9 10
24403,21 2 22 2 34 2 2 22 3 28
10295,31 3 8 8 8 8 17 54
7277,58 165 2 2 22 2 22 32 29
11620,21 2 3 8 8 9 49
10876,11 12 13 14 15 38 17 8 4 28
18143,81 2 2 2 3 8 8 8 20
9190,81 2 2 2 3 8 8 8 18
22287,104 2 3 8 8 28
7150,31 3 8 8 8 8 19 20
13203,104 2 3 8 8 18
9551,21 42 177 176 146 175 8 139 92
20528,104 2 3 8 8 20
6669,21 2 2 2 2 2 34 2 3 151
11828,21 42 177 176 146 175 8 139 93
2135,21 2 3 8 8 8 55
21593,45 51 17 8 8 4 8 19 20
22837,21 2 3 8 8 8 237
22016,11 12 13 14 15 38 17 8 4 54
9157,81 2 2 2 3 8 8 9 10
23794,21 42 2 2 2 2 7 8 9 10
22403,94 176 146 175 8 92
4786,1 2 2 2 3 8 17 8 8 5
16486,94 176 146 175 8 93
23806,21 74 8 17 8 4 5
21203,94 2 136 8 8 8 93
2967,94 176 146 175 8 100
18688,21 2 22 2 2 22 105 28
2990,94 176 146 175 8 110
19877,94 176 146 175 8 111
7472,104 2 3 8 9 214
4052,35 59 13 12 13 14 15 69 20
5626,21 2 2 2 2 2 3 8 8 39
1802,11 51 15 52 37 15 38 28
21558,6 219 158 2 34 2 22 32 29 30
24297,21 42 2 2 2 2 7 8 8 18
16100,35 59 13 12 13 14 15 69 30
22850,21 2 2 2 2 2 3 8 9 10
24690,21 42 2 2 2 2 7 8 8 20
11692,35 59 13 12 13 14 15 69 28
23823,21 74 8 17 8 4 28
24672,103 2 2 22 12 13 14 15 16 29
4163,35 59 13 12 13 14 15 69 5
13572,33 158 3 157 8 8 18
1948,11 51 15 52 37 15 38 62
6653,33 34 2 2 2 2 22 32 29
21778,21 2 2 2 2 2 3 8 8 55
24289,21 42 2 2 2 2 7 8 8 5
6285,11 34 2 2 22 2 2 22 3 28
14621,33 34 2 70 172 67 8 8 18
10777,31 74 8 8 4 8 139 93
2389,33 34 2 70 172 67 8 8 20
4687,1 2 2 2 3 8 17 8 8 28
10767,31 74 8 8 4 8 139 92
26392,113 2 22 2 2 2 2 22 3 28
20038,21 2 2 2 2 2 3 8 9 49
7878,126 3 8 17 8 19 20
21786,33 158 3 157 8 8 5
18681,1 2 2 2 3 8 17 8 8 18
8096,81 2 2 2 70 71 77 29
16979,94 176 146 175 8 143
16110,45 51 17 8 8 4 8 9 133
9784,94 176 146 175 8 151
26207,81 141 2 3 8 8 17 8 8 237
17934,33 105 17 8 4 8 20
18017,1 2 2 2 70 172 67 8 19 20
25226,21 2 2 2 2 2 3 8 8 93
45,1 2 2 3 4 28
4147,33 34 2 70 172 67 8 4 54
10765,31 74 8 8 4 8 144 41
17355,94 176 146 175 8 28
7100,47 48 2 7 8 8 8 4 5
2890,94 178 8 8 4 5
18125,21 2 2 2 2 2 3 8 8 92
22347,94 176 146 175 8 39
6774,11 12 13 14 15 38 17 8 8 5
8827,81 2 2 2 3 8 8 8 93
8964,81 2 2 2 3 8 8 8 92
24931,21 2 3 8 8 8 155
22822,104 2 3 8 17 8 8 19 20
23385,103 2 136 54
19891,31 74 8 8 4 8 144 54
22737,94 2 136 8 8 8 18
10769,31 74 8 8 4 8 144 53
15940,33 34 2 70 172 67 8 4 28
17329,33 158 3 157 8 8 28
1805,11 12 13 14 15 38 17 8 8 18
4984,94 178 8 8 4 8 19 20
23,1 2 2 3 4 5
1626,11 12 13 14 15 38 17 8 8 20
21577,208 83 13 14 15 69 8 20
17200,276 87 48 2 2 3 268
1773,11 51 15 52 37 15 38 5
6806,11 12 13 14 15 38 17 8 8 28
16096,33 3 17 8 144 175 8 8 92
2940,94 178 8 8 4 28
4205,11 12 13 14 15 38 17 8 8 39
16645,21 2 2 2 2 2 3 8 8 143
23369,81 2 136 54
16126,94 176 146 175 8 78
4701,156 2 2 3 8 19 20
19693,104 2 3 8 8 149
14578,94 176 146 175 8 80
17968,11 83 13 14 15 129 17 8 8 18
11543,6 22 23 13 40 36 28
9501,45 12 13 40 59 13 40 36 28
22270,35 146 175 8 8 4 5
6046,21 2 2 22 12 13 14 15 16 29
11686,11 83 13 40 59 13 51 79
19269,103 2 2 22 2 2 22 51 28
3838,86 87 48 2 2 96 8 60
23311,45 51 17 8 8 4 8 8 18
16500,45 51 17 8 8 4 8 8 20
4116,21 2 137 141 2 7 8 20
16205,21 176 146 175 110
20638,11 34 2 3 17 8 9 101 102
22607,11 34 2 2 136 8 8 4 54
8443,46 2 2 2 22 3 93
19433,31 74 8 8 4 8 164 5
21656,31 2 96 8 8 18
425,58 59 13 51 15 38 17 8 19 20
5878,217 2 2 22 51 15 52 41
11545,119 2 70 71 77 29
2435,31 2 96 8 8 20
17272,21 176 146 175 60
22584,45 51 17 8 8 4 8 8 55
13563,33 158 3 157 8 4 5
20927,134 2 22 2 2 3 8 17 8 132
4143,33 34 2 70 172 67 8 4 5
817,45 12 13 40 59 13 40 36 41
18801,94 178 8 8 4 8 4 5
5736,217 2 2 22 51 15 52 53
2329,6 22 23 13 40 36 41
3340,45 51 17 8 8 4 8 9 10
6690,31 3 8 8 8 4 8 8 8 18
5353,1 2 3 4 8 4 8 19 20
6287,35 36 37 15 129 17 8 5
8200,35 145 2 7 54
22654,33 2 34 2 2 137 138 93
22590,11 34 2 2 136 8 8 4 5
17857,103 2 2 3 8 17 8 78
4121,103 2 2 3 8 17 8 80
5800,35 59 13 14 15 129 130
2040,156 2 22 12 13 24 25 159 160 41
13581,33 158 3 157 8 4 28
6160,46 2 2 2 22 3 28
19594,21 2 22 12 13 14 15 114 29 30
21916,11 158 3 157 8 17 8 144 54
2860,21 42 177 178 8 8 4 8 20
13624,35 36 37 15 129 17 8 41
15208,103 141 70 83 13 14 15 16 29 30
14896,35 36 37 15 129 17 8 39
22649,1 2 136 8 8 55
19380,31 74 8 8 4 8 164 28
3105,35 145 2 7 28
26350,103 2 2 3 8 17 8 110
6311,35 36 37 15 129 17 8 28
24824,45 51 17 8 8 4 8 8 93
17945,11 83 13 14 15 129 17 8 4 28
1443,35 36 37 15 129 17 8 20
4260,35 36 37 15 129 17 8 18
18592,33 158 3 157 8 4 54
3031,1 2 2 2 2 2 176 146 175 110
4983,94 178 8 8 4 8 8 18
16092,43 83 13 14 15 65 72 73
8260,21 42 177 176 146 175 8 144 54
6283,1 2 2 2 7 54
17956,11 83 13 14 15 129 17 8 4 5
16251,35 146 175 8 8 8 18
25168,21 225 13 14 15 228 220 222 20
20857,21 2 2 2 2 137 141 2 7 54
7780,35 146 175 8 8 8 20
8152,21 42 177 176 146 175 8 144 53
8897,1 2 2 2 3 171
23963,21 293 13 40 36 41
25203,35 146 175 8 8 8 28
22652,1 2 136 8 8 18
8198,21 42 177 176 146 175 8 144 41
18079,1 2 136 8 8 20
22574,45 51 17 8 8 4 8 4 5
5999,1 2 2 2 3 153
8020,1 2 2 2 3 155
19474,46 2 2 2 2 22 51 15 129 130
24642,21 2 2 7 8 8 8 8 19 20
14319,21 83 13 14 15 129 29 30
14500,31 2 96 8 8 149
5067,1 2 2 2 7 28
15797,113 2 22 2 22 32 29 30
16602,107 2 22 83 13 14 15 65 72 73
12239,156 2 2 3 8 9 10
5659,1 2 2 2 3 143
22560,45 51 17 8 8 4 8 4 28
9853,81 141 2 34 2 165 2 7 28
7891,31 2 22 2 22 23 13 40 36 41
20807,81 138 140 8 144 175 8 157 41
19077,50 2 22 51 15 16 17 8 60
9154,85 2 3 8 8 8 8 8 8 92
9398,85 2 3 8 8 8 8 8 8 93
6002,46 2 2 3 8 8 4 5
26079,85 2 2 2 22 32 29
13234,21 2 2 2 2 2 3 8 19 20
19168,21 2 3 17 8 8 8 8 19 20
20725,85 2 34 2 70 71 77 29 30
12834,6 96 8 8 8 19 20
26171,35 146 175 8 8 8 54
3420,35 146 175 8 8 8 55
20440,243 244 52 37 15 16 29 30
5998,46 2 2 3 8 8 4 28
8965,152 2 3 8 8 17 8 20
20743,81 138 140 8 144 175 8 157 53
7883,35 59 13 14 15 129 29
23800,50 2 2 34 2 22 32 29 30
25360,156 2 2 3 8 8 115
7415,46 2 2 22 127 13 40 36 41
19670,21 2 2 22 2 3 8 17 8 111
21464,91 51 15 38 15 52 37 15 114 116
23879,21 42 2 34 2 3 8 8 55
22680,11 2 2 22 2 2 3 80
16354,21 2 176 145 74 60
19299,21 2 22 83 13 14 15 38 28
8779,44 23 13 14 15 52 37 15 38 5
19080,21 2 22 83 13 14 15 38 5
20830,104 2 3 8 4 8 20
21983,152 2 22 3 28
1990,58 59 13 51 15 38 17 8 8 55
12452,46 2 2 3 8 8 4 54
641,97 2 2 2 3 8 5
25450,11 158 2 34 2 3 19 20
13610,35 36 37 15 129 17 8 229
5254,47 48 2 7 8 8 8 19 20
19292,21 2 22 83 13 14 15 38 62
1992,58 59 13 12 13 24 25 159 160 41
13891,150 2 34 2 136 8 4 5
20955,35 146 175 8 8 8 115
