id,node_type
124,breakStatement UP
265,RegularExpressionLiteral DOWN
229,Function DOWN
75,Const UP
125,Delete DOWN
116,Break DOWN
12,ifStatement UP
271,lastElement TOP
206,EOF UP
66,variableDeclarationList DOWN
253,keyword DOWN
274,RightShiftArithmetic UP
130,Return DOWN
135,NullLiteral UP
241,tryStatement DOWN
32,expressionStatement TOP
228,functionDeclaration DOWN
134,NotEquals UP
17,expressionSequence DOWN
123,breakStatement TOP
256,Instanceof DOWN
74,variableDeclaration TOP
119,Minus UP
9,literal DOWN
88,New UP
120,GreaterThanEquals DOWN
5,OpenParen DOWN
219,formalParameterList UP
252,reservedWord DOWN
29,eos DOWN
79,Else DOWN
176,propertyAssignment UP
277,HexIntegerLiteral DOWN
108,BitAnd UP
179,propertyName DOWN
110,Colon DOWN
286,Finally DOWN
195,Default DOWN
82,For UP
96,expressionSequence TOP
268,BitOr DOWN
55,This DOWN
212,Continue UP
23,expressionStatement UP
203,Throw UP
208,While UP
182,caseClause DOWN
137,elementList UP
146,objectLiteral TOP
239,emptyStatement UP
272,lastElement UP
95,throwStatement DOWN
171,LessThan DOWN
103,CloseBracket UP
214,TemplateStringLiteral DOWN
193,caseBlock UP
280,lastFormalParameterArg UP
16,expressionStatement DOWN
244,tryStatement TOP
159,functionBody UP
257,Instanceof UP
291,labelledStatement DOWN
60,Assign DOWN
97,Or UP
187,caseClause TOP
282,DivideAssign DOWN
18,Dot DOWN
37,statementList DOWN
178,propertyAssignment TOP
249,Try DOWN
45,If UP
144,objectLiteral DOWN
115,Minus DOWN
198,defaultClause UP
255,MinusAssign DOWN
57,sourceElement DOWN
77,variableStatement TOP
250,keyword UP
34,arguments UP
65,variableStatement DOWN
87,numericLiteral UP
221,formalParameterList TOP
70,variableDeclaration UP
48,literal UP
263,Var DOWN
227,Function UP
38,ifStatement DOWN
222,formalParameterArg DOWN
292,labelledStatement TOP
14,statementList TOP
67,variableDeclaration DOWN
129,returnStatement DOWN
128,Return UP
101,numericLiteral DOWN
201,throwStatement TOP
284,generatorMethod DOWN
44,eos UP
62,If DOWN
172,variableDeclarationList TOP
78,Or DOWN
204,New DOWN
223,LessThanEquals DOWN
63,LeftShiftArithmetic DOWN
266,MultiplyAssign DOWN
68,BitAnd DOWN
200,Switch DOWN
1,Dot UP
157,arrowFunctionBody DOWN
41,CloseBrace DOWN
148,Equals_ UP
42,identifierName UP
117,GreaterThanEquals UP
4,arguments DOWN
225,functionDeclaration UP
26,program TOP
270,lastElement DOWN
69,iterationStatement DOWN
27,EOF DOWN
136,elementList TOP
166,ARROW DOWN
104,Plus UP
287,eos TOP
40,statementList UP
180,caseClause UP
188,switchStatement DOWN
122,Break UP
288,DivideAssign UP
230,lastArgument DOWN
278,Do DOWN
52,block DOWN
46,This UP
160,arrowFunctionBody TOP
262,Var UP
238,emptyStatement DOWN
150,Multiply UP
93,CloseBracket DOWN
173,Super DOWN
7,arguments TOP
35,OpenBrace UP
47,StringLiteral UP
90,BitOrAssign DOWN
91,Else UP
283,generatorMethod TOP
76,varModifier UP
11,CloseParen UP
64,variableStatement UP
36,block TOP
51,ifStatement TOP
275,formalParameterArg TOP
183,Case DOWN
106,For DOWN
217,Typeof UP
86,DecimalLiteral UP
161,functionBody DOWN
243,Try UP
54,Comma DOWN
138,arrayLiteral TOP
50,Not UP
251,reservedWord UP
281,lastFormalParameterArg DOWN
143,IdentityNotEquals DOWN
189,caseBlock DOWN
185,caseBlock TOP
190,caseClauses DOWN
181,caseClauses TOP
112,PlusPlus DOWN
156,IdentityEquals UP
267,MultiplyAssign UP
261,Export UP
196,Switch UP
121,MinusMinus DOWN
154,Divide UP
139,arrayLiteral DOWN
30,SemiColon DOWN
127,returnStatement UP
248,Catch DOWN
92,OpenBracket DOWN
240,catchProduction TOP
111,Plus DOWN
24,sourceElement UP
58,CloseBrace UP
294,statement TOP
109,LeftShiftArithmetic UP
165,arrowFunctionBody UP
107,PlusPlus UP
234,lastArgument TOP
184,caseClauses UP
290,BitNot DOWN
237,Typeof DOWN
231,Ellipsis DOWN
31,Assign UP
6,Comma UP
162,sourceElements DOWN
140,elementList DOWN
224,LessThanEquals UP
13,statement UP
98,BitOrAssign UP
80,And DOWN
113,QuestionMark UP
194,switchStatement TOP
218,formalParameterArg UP
158,arrowFunctionParameters UP
205,Throw DOWN
246,catchProduction UP
259,Class DOWN
258,Class UP
59,block UP
235,Modulus UP
199,Default UP
149,Multiply DOWN
174,Super UP
177,propertyName UP
202,throwStatement UP
105,iterationStatement TOP
210,PlusAssign DOWN
102,DecimalLiteral DOWN
242,catchProduction DOWN
3,singleExpression TOP
8,singleExpression DOWN
191,switchStatement UP
147,Equals_ DOWN
216,In UP
131,returnStatement TOP
21,Identifier UP
232,Ellipsis UP
85,And UP
276,HexIntegerLiteral UP
61,BooleanLiteral UP
99,assignmentOperator UP
153,MoreThan DOWN
72,varModifier DOWN
220,formalParameterList DOWN
211,continueStatement UP
285,generatorMethod UP
226,functionDeclaration TOP
114,breakStatement DOWN
264,RegularExpressionLiteral UP
247,tryStatement UP
133,NullLiteral DOWN
175,propertyAssignment DOWN
94,Colon UP
155,IdentityEquals DOWN
118,MinusMinus UP
141,arrayLiteral UP
43,SemiColon UP
260,Export DOWN
25,sourceElements UP
215,In DOWN
22,expressionSequence UP
126,Delete UP
170,TemplateStringLiteral UP
293,labelledStatement UP
142,IdentityNotEquals UP
192,Case UP
33,OpenParen UP
186,defaultClause DOWN
168,continueStatement DOWN
289,BitNot UP
20,Identifier DOWN
39,Not DOWN
245,Catch UP
56,sourceElements TOP
49,BooleanLiteral DOWN
10,StringLiteral DOWN
145,objectLiteral UP
28,CloseParen DOWN
273,RightShiftArithmetic DOWN
73,Const DOWN
167,arrowFunctionParameters TOP
233,lastArgument UP
269,BitOr UP
197,defaultClause TOP
209,PlusAssign UP
213,continueStatement TOP
207,While DOWN
15,statement DOWN
53,OpenBrace DOWN
89,assignmentOperator DOWN
152,MoreThan UP
100,QuestionMark DOWN
279,Do UP
236,Modulus DOWN
164,arrowFunctionParameters DOWN
254,MinusAssign UP
71,variableDeclarationList UP
2,singleExpression UP
19,identifierName DOWN
163,ARROW UP
84,LessThan UP
151,Divide DOWN
81,OpenBracket UP
83,iterationStatement UP
132,NotEquals DOWN
169,Continue DOWN
