NUM,CLASS_ID,EMBEDDING
159,C-000253,0.4713269770145416
227,C-000485,-0.1514967381954193
417,C-001373,0.3453170359134674
081,C-000134,-0.4754239320755005
205,C-000384,-0.3980776071548462
332,C-001120,-0.3521084189414978
136,C-000218,-0.18080294132232666
193,C-000342,0.3488784730434418
294,C-000980,0.36212167143821716
035,C-000058,-0.38930293917655945
122,C-000198,-0.3464134931564331
140,C-000222,-0.24933958053588867
270,C-000745,-0.3573575019836426
258,C-000653,0.34853845834732056
404,C-001355,-0.32409653067588806
137,C-000219,0.4324303865432739
121,C-000197,-0.6498759984970093
344,C-001156,0.5011138916015625
284,C-000906,-0.2574957609176636
368,C-001221,0.42862579226493835
291,C-000965,-0.49629849195480347
049,C-000079,0.5837065577507019
141,C-000223,-0.5233624577522278
396,C-001339,-0.15036113560199738
363,C-001212,0.5385614633560181
330,C-001111,0.3601738512516022
185,C-000302,0.314765602350235
196,C-000356,-0.2651003301143646
251,C-000586,-0.1615634560585022
295,C-000988,-0.13052339851856232
355,C-001182,-0.4116060137748718
388,C-001318,0.34555384516716003
043,C-000068,-0.347312331199646
017,C-000035,0.4196757972240448
036,C-000060,-0.2989453971385956
119,C-000193,-0.30046653747558594
412,C-001364,0.4131975769996643
395,C-001336,-0.4134701192378998
078,C-000131,-0.4747864007949829
234,C-000517,-0.2501346468925476
393,C-001330,-0.14361262321472168
300,C-001010,0.4207892119884491
106,C-000179,-0.22504183650016785
048,C-000078,-0.2423449456691742
360,C-001201,-0.5022311210632324
281,C-000859,-0.8081214427947998
354,C-001180,-0.9596367478370667
254,C-000622,-0.342701256275177
001,C-000002,-0.09778358042240143
191,C-000337,0.33708512783050537
260,C-000671,0.3297153115272522
310,C-001060,0.19768178462982178
147,C-000229,0.2784063518047333
319,C-001087,-0.9770753979682922
151,C-000235,-0.20097438991069794
107,C-000180,-0.34087228775024414
247,C-000558,-0.24945226311683655
187,C-000304,0.5195767283439636
090,C-000146,-0.5290433168411255
186,C-000303,-0.6635695695877075
086,C-000140,-0.4101971685886383
007,C-000015,-0.5644823312759399
189,C-000310,-0.28309565782546997
065,C-000108,0.4952726364135742
309,C-001059,0.10998205840587616
257,C-000650,-0.4618479013442993
010,C-000022,0.25990357995033264
115,C-000189,0.4119812846183777
177,C-000283,-0.3791505694389343
130,C-000211,-0.10322996228933334
289,C-000927,-0.7628846764564514
054,C-000086,-0.2192506343126297
265,C-000734,-0.8118554949760437
034,C-000057,-0.42475053668022156
074,C-000122,0.3473348915576935
133,C-000214,0.3168528079986572
005,C-000012,-0.7481776475906372
374,C-001269,-0.9525254964828491
011,C-000023,-0.3683910667896271
181,C-000288,0.2903621792793274
394,C-001335,0.5012156963348389
389,C-001319,0.40608492493629456
340,C-001143,-0.26003122329711914
183,C-000296,0.14923454821109772
306,C-001039,-0.9434019923210144
408,C-001359,0.40320247411727905
201,C-000367,-0.19785793125629425
071,C-000118,0.2961355149745941
