id,path
6097,23 26 15 16 3 4 30 31 71
7844,14 15 16 15 10 24 11 61 137
43,38 17 6 18 40 6 20 36 37
11423,14 15 10 24 11 24 11 61 262
7251,215 10 11 11 21 11 11 33
1869,23 15 82 4 5 6 20 21 11 83
10760,89 15 64 65 78 4 5 6 204 44
20954,93 15 34 15 15 10 11 11 24 8
4680,32 15 15 10 24 11 143 122
5583,38 17 6 20 21 11 24 11 12 13
5769,128 15 15 34 15 16 35 36
39,14 15 16 17 6 18 27
9454,23 15 82 4 5 6 20 21 11 71
9209,38 17 6 18 40 6 20 36 8
3,14 15 16 17 6 18 19
704,23 15 82 4 5 6 20 21 11 125
5454,39 31 40 6 42 21 11 149 172 13
14162,54 47 4 17 6 7 21 11 11 87
20022,129 15 16 35 36 37
2842,23 15 15 55 11 61 137
8693,93 147 15 34 15 15 64 65 66 36
11241,39 153 172 11 149 172 11 11 12 13
20481,28 55 11 149 172 11 11 11 11 122
3873,14 15 16 3 4 5 6 20 36 8
411,91 17 6 18 27
16650,23 15 170 153 172 11 149 172 174 62
10745,88 190 191 192 40 6 20 36
9167,23 15 15 55 11 61 139
16773,54 47 4 17 6 7 21 11 11 83
5984,92 15 10 11 24 11 11 13
409,91 17 6 18 19
16110,14 15 16 17 6 18 40 6 98 217
19374,152 10 11 61 139
10705,92 15 10 11 24 11 11 25
12749,152 10 11 61 137
19151,54 47 4 17 6 7 21 11 11 108
1377,92 15 10 11 24 11 11 33
6503,23 15 15 15 16 15 15 55 11 13
11869,23 73 11 24 11 149 172 11 13
20937,23 15 82 4 5 6 20 21 11 94
3828,23 15 82 4 5 6 20 21 11 157
6625,14 15 16 188 189 195 94
19863,113 82 4 30 47 4 30 31 19
21043,23 15 15 15 15 15 15 10 11 25
21304,38 17 6 18 40 6 20 36 94
11246,39 153 172 11 149 172 11 11 11 13
13507,90 15 15 15 10 75
766,129 15 16 35 36 8
2432,32 15 15 10 24 11 149 19
3695,28 55 11 149 172 11 12 13
13206,23 15 15 55 11 61 166
1388,32 15 15 15 10 11 13
5402,23 15 10 11 11 11 24 8
9169,23 15 82 4 5 6 18 19
7126,23 26 15 16 3 4 30 31 19
7955,39 47 4 30 47 4 48 49 50 37
9425,32 15 15 15 10 11 8
9902,39 153 172 11 149 172 11 143 144 104
6042,39 47 4 30 47 4 48 49 50 33
9162,23 15 82 4 5 6 18 27
14388,81 15 16 131 6 18 40 6 98 44
6276,228 227 4 30 31 19
19852,23 15 16 15 15 10 24 11 183 8
4571,23 15 15 15 15 15 15 10 12 13
14101,28 10 21 11 21 11 11 25
14763,41 29 4 5 6 121 21 11 120
20354,23 15 15 15 15 15 15 10 11 44
3474,38 82 4 5 6 20 21 11 24 8
14897,54 47 4 17 6 7 21 11 11 63
21635,28 15 15 119 27
666,39 47 4 30 47 4 48 49 50 51
20406,28 55 11 149 172 11 11 11 11 84
671,23 15 82 4 5 6 20 21 11 126
15957,23 64 82 4 5 6 68 76 77
784,32 15 15 15 10 12 13
3746,23 73 11 24 11 149 172 11 11 13
9386,32 15 15 15 10 11 44
7604,23 235 18 27
15309,80 142 11 11 21 11 11 11 11 13
18393,28 131 69 70 71
1964,28 55 11 149 172 11 11 13
20383,92 15 15 34 15 15 16 35 36
609,72 82 4 30 47 4 48 49 50 51
1738,54 47 4 17 6 7 21 11 11 25
4287,161 15 15 16 17 6 18 19
6999,39 47 4 30 47 4 48 49 50 8
19511,74 15 15 16 15 15 16 17 8
19655,93 15 34 15 15 10 11 11 24 44
2265,54 47 4 17 6 7 21 11 11 13
7279,23 26 15 16 15 15 15 15 10 87
15472,1 2 3 4 5 6 164 165
2349,161 15 15 16 17 6 18 27
2078,28 55 11 149 172 11 11 25
20224,54 47 4 29 4 5 6 68 36
2817,32 15 15 15 10 11 25
16423,28 82 4 5 6 98 6 18 27
557,54 47 4 17 6 7 21 11 12 13
8023,72 82 4 30 47 4 48 49 50 37
20453,23 15 15 15 15 15 15 10 11 13
2054,28 55 11 149 172 11 11 11 12 13
15071,28 55 11 149 172 11 11 33
4821,23 26 15 55 11 11 24 8
8807,54 15 34 15 16 35 36 37
12499,28 82 4 5 6 98 6 18 19
2409,32 15 15 10 24 11 149 27
3662,23 73 11 24 11 149 172 11 11 25
3476,38 82 4 5 6 20 21 11 24 44
6091,39 47 4 30 47 4 48 49 50 19
15823,138 50 8
3399,23 26 15 10 11 24 11 11 13
12751,32 15 15 15 10 11 75
12109,92 15 15 15 64 65 66 36 37
18205,67 15 16 15 10 11 21 11 87
21230,14 15 16 17 6 18 40 6 98 71
6069,23 26 15 15 16 3 4 5 6
2198,152 15 170 153 172 11 11 24 44
11276,23 26 15 10 11 24 11 11 25
4151,136 60 15 16 56 36 37
13050,92 10 21 11 11 11 61 100 101
