id,node_type
146,Divide UP
202,While DOWN
220,Switch UP
149,IdentityEquals UP
252,Export UP
278,MultiplyAssign UP
194,defaultClause TOP
119,returnStatement UP
248,emptyStatement DOWN
143,Multiply DOWN
186,defaultClause DOWN
203,PlusAssign DOWN
175,Throw DOWN
44,iterationStatement UP
206,Continue DOWN
36,CloseParen DOWN
95,Not UP
271,Do DOWN
211,formalParameterArg UP
167,arrowFunctionParameters UP
38,arguments DOWN
153,continueStatement UP
169,ARROW UP
24,Identifier UP
99,BitOrAssign UP
107,LeftShiftArithmetic UP
127,elementList DOWN
56,EOF DOWN
113,BooleanLiteral UP
77,ifStatement TOP
249,LessThanEquals UP
166,arrowFunctionBody UP
235,formalParameterList TOP
189,switchStatement UP
16,variableDeclaration DOWN
51,CloseBrace UP
277,catchProduction UP
60,varModifier UP
85,sourceElements TOP
28,numericLiteral DOWN
173,throwStatement UP
154,Plus DOWN
157,propertyAssignment DOWN
48,OpenBracket DOWN
129,arrayLiteral TOP
114,StringLiteral UP
74,breakStatement DOWN
93,Else UP
8,statementList UP
25,variableDeclaration TOP
70,MinusMinus DOWN
160,propertyAssignment TOP
250,Class UP
49,Dot UP
165,sourceElements DOWN
265,RightShiftArithmetic DOWN
226,formalParameterList DOWN
82,DecimalLiteral UP
3,singleExpression UP
5,variableDeclarationList UP
130,elementList TOP
144,MoreThan UP
262,lastElement DOWN
47,Minus DOWN
246,Try UP
199,breakStatement TOP
34,Assign UP
71,arguments TOP
214,LessThan UP
258,Var UP
269,BitOr UP
282,labelledStatement UP
140,Equals_ DOWN
45,expressionStatement DOWN
53,sourceElement UP
101,Colon UP
121,Return UP
18,CloseBracket DOWN
276,tryStatement UP
147,MoreThan DOWN
231,lastArgument DOWN
280,BitNot UP
97,And UP
19,MinusMinus UP
187,caseClause TOP
132,objectLiteral UP
137,IdentityNotEquals DOWN
39,expressionStatement TOP
229,Ellipsis UP
244,reservedWord UP
204,Typeof UP
255,RegularExpressionLiteral UP
54,sourceElements UP
240,keyword DOWN
27,literal DOWN
261,MinusAssign DOWN
216,TemplateStringLiteral UP
221,functionDeclaration UP
103,Or DOWN
20,expressionSequence UP
17,singleExpression DOWN
257,Instanceof DOWN
115,Delete UP
50,variableStatement TOP
90,QuestionMark UP
126,arrayLiteral DOWN
7,statement UP
41,SemiColon DOWN
65,If DOWN
11,OpenBrace UP
245,Catch DOWN
222,functionDeclaration TOP
35,ifStatement DOWN
164,functionBody DOWN
79,identifierName UP
228,Modulus UP
184,caseClauses DOWN
100,assignmentOperator UP
191,caseBlock DOWN
110,Comma DOWN
104,BitAnd DOWN
209,In UP
43,OpenParen DOWN
123,NotEquals UP
170,arrowFunctionBody DOWN
182,Case DOWN
260,While UP
106,LeftShiftArithmetic DOWN
174,New DOWN
207,Continue UP
279,MultiplyAssign DOWN
109,BitOrAssign DOWN
234,formalParameterArg DOWN
33,For DOWN
125,NullLiteral UP
208,continueStatement TOP
259,Var DOWN
2,arguments UP
163,arrowFunctionBody TOP
168,ARROW DOWN
59,Const UP
192,breakStatement UP
268,BitOr DOWN
238,Try DOWN
102,LessThan DOWN
200,EOF UP
212,formalParameterList UP
4,variableDeclaration UP
63,Assign DOWN
151,PlusPlus DOWN
159,propertyName DOWN
156,propertyAssignment UP
196,Default DOWN
213,BitAnd UP
55,program TOP
83,numericLiteral UP
62,iterationStatement TOP
10,CloseBrace DOWN
23,block DOWN
201,arrowFunctionParameters TOP
275,Finally DOWN
64,CloseParen UP
108,assignmentOperator DOWN
89,Else DOWN
32,iterationStatement DOWN
94,Not DOWN
105,New UP
120,returnStatement TOP
161,Super DOWN
198,defaultClause UP
219,Switch DOWN
148,IdentityEquals DOWN
253,Export DOWN
