id,path
3522,24 3 3 37 17 17 38 17 80 30
2030,11 9 12 13 172 26 17 17 38 36
2868,145 37 17 26 17 17 38 110
8025,24 3 20 3 37 17 38 17 30
9664,145 3 20 119 7 8 9 10
11608,57 44 7 22 13 35 13 35 43
1833,24 25 17 17 17 17 17 17 17 112
3798,81 77 26 17 17 26 17 17 88
8178,7 22 13 45 26 110
9283,24 79 3 71 17 27 138
8237,24 25 17 17 126 48
11144,11 9 12 13 172 26 17 17 38 43
7255,73 3 3 37 17 147
6634,24 79 3 156 132 3 130 17 134 110
11476,73 3 3 37 17 143
11951,114 84 3 37 17 80 30
2107,34 25 17 17 38 17 17 112
4671,169 3 3 20 3 20 39 40
13140,114 84 3 3 37 17 17 17 112
10608,1 2 3 3 71 17 17 112
4930,49 3 37 26 17 80 30
7057,68 3 3 3 37 17 26 17 143
6733,59 60 6 7 22 13 197 191 76
12278,97 3 20 3 3 20 77 13 23 76
2922,146 37 17 26 17 17 17 17 30
8329,68 3 3 37 38 17 17 17 30
11373,51 52 7 8 52 7 77 13 23 10
3267,1 2 3 3 71 17 17 30
7643,1 71 17 170 17 38 36
1168,125 84 3 20 119 7 8 9 10
14036,42 3 3 3 71 36
9759,42 131 3 156 133 157 96
1188,82 83 84 3 3 20 77 36
6663,68 3 3 37 38 17 17 17 72
6919,49 3 37 17 17 38 17 134 110
9748,42 131 3 156 133 110
13586,24 3 37 17 17 17 17 18
7639,1 71 17 170 17 38 43
10240,31 3 37 17 226 110
13000,73 3 3 37 17 148
2394,24 3 3 20 44 7 8 9 10
9188,61 62 26 17 63
8543,82 83 84 3 3 20 3 37 17 18
6422,11 52 7 8 52 7 77 13 35 36
4503,24 3 37 38 17 134 157 17 80 30
4068,149 3 20 69 7 8 9 10
4869,82 83 84 3 3 20 3 37 17 30
3790,1 2 3 3 37 17 27 28 29
1671,93 69 7 22 13 116 26 17 154
3,19 3 20 21 7 22 13 23 10
3313,24 3 37 17 17 17 17 72
3350,91 71 17 17 38 17 17 72
5841,24 167 37 170 17 38 110
9697,51 52 7 8 52 7 77 13 23 76
13622,95 3 3 37 17 17 47
5265,24 3 3 20 69 7 22 13 116 40
10624,145 3 2 3 71 17 38 36
11937,1 71 17 38 17 38 43
6328,68 3 3 37 38 17 17 17 112
1186,98 3 20 21 7 22 13 23 76
5656,11 163 164 165 86 13 116 117
11133,195 192 7 8 179 185 183 186 196
7655,1 71 17 170 17 38 110
1027,34 4 5 6 7 8 52 7 77 89
3482,34 25 17 17 38 17 17 30
10460,11 7 22 13 45 26 17 30
10541,24 79 3 166 3 71 36
14050,90 3 37 17 43
12143,24 3 3 3 3 20 62 13 23 10
12912,152 3 37 38 17 134 157 159 80 30
12479,1 3 3 3 37 17 36
1865,24 25 17 17 17 17 17 80 30
2555,24 3 37 17 17 17 17 30
11576,24 3 3 3 37 17 17 26 17 30
9006,146 3 4 5 6 7 22 13 116 117
10407,1 3 3 3 37 17 43
12805,24 44 7 8 52 7 22 13 32 30
5748,58 21 7 53 85 86 13 116 117
2566,24 3 37 17 17 17 17 48
9694,95 3 3 37 17 17 30
9873,1 3 3 3 37 17 30
77,19 3 20 21 7 22 13 23 76
2858,145 3 20 3 3 3 37 47
9204,98 3 20 62 36
4846,24 167 37 170 17 38 43
9930,1 3 156 133 157 17 80 30
1196,98 3 20 21 7 22 13 23 10
10371,93 77 13 35 26 17 17 17 17 72
10573,49 3 71 17 17 38 36
13281,141 3 3 156 133 157 96
60,1 71 36
10426,114 84 3 3 37 17 17 17 36
11827,24 3 3 3 3 20 62 13 23 76
6949,24 25 17 17 17 17 17 17 17 30
12462,141 3 3 3 37 17 38 17 80 30
4891,49 3 71 17 80 30
7975,82 83 84 3 3 20 3 37 17 154
8497,1 77 26 17 17 218
13563,114 84 3 3 37 17 17 17 48
9122,93 77 13 35 26 17 17 17 17 30
9870,114 84 3 3 37 17 17 17 72
13193,34 25 17 17 38 17 17 72
13580,93 69 7 22 13 116 26 17 30
5964,42 131 3 156 133 10
10631,145 3 2 3 71 17 38 43
11921,195 192 7 8 179 185 183 186 96
5474,24 79 3 71 17 27 111
6683,24 3 37 17 17 17 17 112
6337,24 3 20 3 71 17 27 122
11624,93 77 13 35 26 17 17 17 17 43
12316,24 25 17 38 17 26 17 27 28 29
4208,51 132 3 20 120 40 41
9451,49 3 2 3 3 37 17 94
6482,1 77 26 17 38 36
8931,49 3 20 39 40
7747,1 77 26 17 38 43
13289,49 3 2 3 4 5 50 40
9968,1 37 26 17 26 17 17 72
6769,42 3 37 17 17 27 28 29
11010,51 52 7 22 13 14 15 16 30
13291,42 3 3 37 80 30
11064,214 3 20 44 7 22 13 45 40 41
13287,1 3 37 17 38 17 72
7819,24 25 17 38 17 134 10
329,51 52 7 69 7 22 13 45 40 41
6163,68 3 3 37 147
8259,68 3 3 37 148
567,1 71 110
273,57 58 6 7 22 13 14 40 41
11432,68 3 3 37 154
7497,68 3 3 37 135
319,24 3 37 108 109
1588,68 3 3 37 137
9263,11 133 157 17 17 17 80 30
9860,64 3 3 130 17 17 36
6005,82 83 84 3 156 132 3 156 133 110
3756,68 3 3 37 142
7017,68 3 3 37 143
11908,260 44 7 22 13 197 191 184 181 182
10433,64 3 3 130 17 17 43
10833,24 3 20 62 13 23 12 13 35 36
5599,49 3 20 37 36
7846,24 3 20 62 13 23 12 13 35 43
8844,1 71 17 126 127 110
10405,64 3 3 130 17 17 30
12919,24 25 17 26 17 38 43
11480,93 69 7 69 7 22 13 35 43
3832,24 3 3 20 69 7 22 13 116 117
7822,24 3 20 62 13 23 12 13 35 65
2645,1 71 17 27 28 29
9214,34 37 17 17 38 17 134 157 17 30
11704,114 84 3 3 37 17 17 27 111
13152,73 3 37 17 17 80 30
9818,68 3 3 37 88
11656,42 3 156 133 157 96
11952,1 37 26 17 26 17 17 30
7075,24 79 3 37 38 17 17 17 27 111
8770,49 3 20 37 18
3109,87 37 17 17 17 17 17 17 80 30
8949,51 52 7 22 13 14 15 16 63
1574,49 3 37 38 17 170 10
353,68 3 3 37 72
9297,34 37 17 17 38 17 134 157 17 72
12196,24 3 37 17 134 157 159 80 30
10227,177 176 26 17 17 38 17 17 80 30
2751,93 69 7 69 7 22 13 45 40 41
10300,34 25 17 17 38 17 17 17 17 112
2302,24 25 17 38 17 134 110
7868,98 3 20 21 7 22 13 32 63
12664,87 37 17 38 17 17 17 17 17 30
9321,24 3 37 108 203
9807,59 60 50 15 16 17 27 28 29
500,1 77 36
13339,24 79 3 3 20 190 191 184 181 182
13376,98 3 20 21 7 22 13 32 43
6002,82 83 84 3 156 132 3 156 133 10
7926,59 60 50 15 16 17 126 127 110
3719,87 3 20 77 36
1980,49 3 37 38 17 170 76
7108,114 84 3 2 3 3 3 71 36
7415,93 69 7 22 13 35 13 35 43
3081,49 3 3 3 37 17 17 112
6461,49 3 3 37 17 17 27 28 29
2533,64 58 21 7 8 52 7 8 9 10
4389,24 79 3 37 17 17 17 80 30
13740,7 22 13 45 40 96
10506,24 79 3 71 17 17 17 17 30
215,91 71 17 30
12001,149 3 3 37 17 17 80 30
4898,91 71 17 18
159,59 60 6 7 22 13 32 17 30
5307,24 79 3 2 3 20 39 40 36
13009,24 44 7 8 52 7 77 13 23 10
2316,49 3 3 3 37 17 17 72
4261,31 3 3 3 3 3 37 88
6080,91 71 17 10
34,64 2 3 4 5 6 7 8 9 10
1016,31 3 37 17 26 17 27 28 29
1019,24 79 3 2 3 20 39 40 41
7875,98 3 20 21 7 22 13 32 33
11251,24 79 3 71 17 38 36
3551,49 3 20 77 13 45 26 17 38 43
4547,49 3 3 3 37 17 17 30
3800,11 9 12 13 116 26 17 17 80 30
6034,11 133 157 17 134 157 17 134 157 96
3553,49 3 20 77 13 45 26 17 38 36
13807,24 79 3 37 17 17 17 26 17 30
430,1 71 17 80 30
8594,42 3 3 3 71 110
9570,24 3 20 3 71 17 38 36
4985,59 60 6 7 22 13 32 16 30
1530,125 84 3 3 37 17 38 36
13943,42 3 3 37 38 17 168
13375,42 3 3 3 3 3 3 71 36
4723,42 129 127 17 134 157 17 80 30
7091,24 79 3 37 38 17 17 17 17 72
781,57 58 6 7 22 13 116 40 41
13343,98 3 20 39 40
6895,101 156 132 3 2 3 37 72
539,1 2 3 37 80 30
12384,87 37 17 17 26 17 27 28 29
6099,91 71 17 76
10963,93 69 7 8 52 7 77 13 23 76
8451,24 3 20 3 3 3 37 17 48
624,91 71 17 72
5070,24 3 37 17 17 17 27 111
1458,91 71 17 63
7177,49 3 37 38 17 38 17 134 157 30
7660,1 71 17 170 17 17 72
12595,95 3 156 133 157 96
6385,90 3 20 3 3 3 20 39 40 41
5351,114 84 3 128 131 3 37 80 30
11695,11 132 3 130 17 17 17 30
2197,11 183 184 181 26 17 27 111
7507,91 71 17 48
4364,73 3 4 5 50 40 41
6118,91 71 17 36
2570,31 3 3 3 20 39 40
4815,91 2 3 2 3 20 39 40 41
6153,91 71 17 43
7343,121 120 26 17 26 17 17 38 43
13407,93 69 7 53 54 171 163 10
220,11 9 12 13 35 26 17 17 80 30
7346,121 120 26 17 26 17 17 38 36
10536,1 2 3 3 37 38 17 134 157 96
3946,91 71 17 154
9222,136 3 37 17 17 38 17 48
11665,144 3 3 128 129 18
12617,91 71 17 142
1935,49 3 37 38 17 162 36
11096,91 71 17 143
3148,49 3 37 38 17 162 30
10068,136 3 37 17 17 38 17 30
2479,24 79 3 37 38 17 17 17 17 112
10563,136 3 3 4 5 50 40 41
1330,49 3 3 156 133 157 17 17 30
147,24 44 7 8 9 10
5579,58 6 7 22 13 197 26 17 17 30
1934,1 3 37 38 17 134 157 96
6298,95 3 3 3 20 39 40 41
9242,34 25 17 17 38 17 38 43
3630,114 84 3 71 17 162 36
11705,144 3 3 130 17 17 147
9543,98 3 20 21 7 22 13 35 65
9563,24 79 3 37 17 38 17 17 30
8106,91 71 17 112
14061,90 37 17 17 26 17 17 17 17 135
13177,24 44 7 8 9 36
3643,114 84 3 71 17 162 43
2950,91 71 17 103
12510,141 3 3 3 3 37 154
10935,101 187 12 13 116 40 41
12282,98 3 20 21 7 22 13 35 43
4514,1 221 7 22 13 45 26 17 38 43
6087,91 71 17 225
10251,93 77 13 23 12 13 23 10
8248,95 3 20 77 13 23 12 13 45 40
13119,91 71 17 227
9881,114 84 3 3 3 37 17 80 30
10556,97 3 20 3 20 120 40 41
4497,1 221 7 22 13 45 26 17 38 36
6233,101 3 4 5 6 7 22 13 14 40
7435,256 3 3 37 17 17 30
4584,146 37 17 30
2850,146 37 17 36
8306,24 25 17 38 17 162 30
12708,82 83 84 3 20 3 130 110
2517,51 52 7 8 52 7 22 13 35 43
1599,1 2 3 3 20 77 13 23 10
10026,1 71 17 26 17 134 157 17 30
7385,24 79 3 37 17 38 17 17 72
8667,149 3 3 4 5 50 40 41
1945,49 3 37 38 17 162 43
3290,105 3 71 17 80 30
2011,11 9 12 13 172 26 17 17 17 30
10566,91 71 17 174
11978,24 3 3 2 3 3 20 37 36
12177,1 37 26 17 17 17 38 17 17 112
7924,146 37 17 72
3654,91 71 17 168
13652,1 77 26 17 38 17 17 80 30
1446,34 3 2 3 20 39 40
856,24 79 3 37 17 38 17 17 112
2847,49 3 37 17 26 17 17 27 28 29
10842,61 44 7 22 13 116 26 17 17 112
10968,57 58 119 7 69 7 22 13 35 65
9337,81 77 26 17 38 17 17 30
1357,101 156 133 157 17 17 17 80 30
10646,1 62 26 17 63
13942,90 37 17 17 126 48
12277,82 83 84 3 92 17 17 17 17 30
9203,68 3 3 92 17 134 157 17 135
4400,34 3 37 17 17 17 72
10338,169 3 20 39 40
8268,24 25 17 38 17 162 43
1687,146 37 17 18
6316,24 25 17 38 17 38 17 30
1127,24 3 2 3 20 119 7 8 9 10
4229,95 3 20 77 13 116 40 41
4914,24 79 3 37 38 17 17 17 17 30
11061,1 62 26 17 103
10634,82 83 84 3 20 3 37 26 17 30
3299,1 2 3 3 71 110
3970,24 3 3 2 3 3 20 39 40
8446,24 3 20 3 3 3 37 17 18
13749,11 7 22 13 45 26 17 27 28 29
10427,91 130 17 17 26 17 17 72
1951,91 20 3 37 38 17 134 157 17 30
1647,49 3 3 3 3 20 77 13 23 76
13083,24 79 3 3 3 3 37 135
8374,24 3 3 20 77 13 116 117
5767,91 132 3 20 120 40 10
3254,49 3 3 3 3 2 3 37 142
14013,24 79 3 37 17 38 17 162 226 110
4152,1 77 26 17 17 147
1578,1 77 26 17 17 148
7713,49 3 3 3 20 3 37 17 30
2295,24 79 3 3 3 3 37 96
2810,24 79 3 2 3 3 20 37 36
