id,node_type
21,SemiColon DOWN
49,arguments TOP
89,statementList TOP
229,switchStatement TOP
181,emptyStatement DOWN
100,If DOWN
24,OpenBrace UP
119,IdentityNotEquals DOWN
147,arrayLiteral DOWN
26,functionBody DOWN
259,throwStatement TOP
141,QuestionMark UP
312,lastFormalParameterArg DOWN
148,CloseBracket DOWN
36,statement UP
90,block DOWN
